id,stat,choice1,choice2,credit,laceup_only,tuxedo_only,strapless_bev,bevelled_only,parka_bev,blended_only,cuffs_only,pleated_only,wkday_8_11A,wkday_2_5P,wkday_11_8A,wkday_5_11P,wkday_11_2P,wkend_2_11P,wkend_11_2P,wkend_11_A,sundaybest_flag
132470,long,T1 Faster,T2 Slower,3. +10%,1,1,0,0,2,1,0,2,1,2,0,2,2,1,1,0,0
127767,loyal,T1 Faster,T2 Neutral,1. None,2,0,2,1,1,0,1,0,2,1,1,2,2,2,2,1,0
184913,loyal,T1 Neutral,T2 Slower,1. None,0,2,1,1,0,0,0,0,2,1,0,0,1,1,0,1,0
188775,medium,T1 Faster,T2 Faster,1. None,2,0,0,0,2,0,0,0,2,1,1,0,1,1,1,1,0
142912,long,T1 Faster,T2 Faster,1. None,0,1,2,1,1,0,0,1,1,0,2,1,1,0,1,2,0
144014,long,T1 Faster,T2 Slower,1. None,0,1,1,2,2,0,0,0,0,2,0,2,1,2,0,0,0
168196,loyal,T1 Faster,T2 Slower,1. None,1,2,2,0,2,0,0,0,2,2,0,2,0,2,0,0,0
146419,loyal,T1 Faster,T2 Neutral,3. +10%,1,1,1,1,1,2,0,0,1,1,1,2,1,2,1,1,0
128502,medium,T1 Faster,T2 Faster,1. None,1,1,1,0,2,0,0,0,2,1,0,2,1,1,2,1,0
127129,loyal,T1 Faster,T2 Faster,1. None,1,2,1,2,1,1,1,0,2,1,0,2,2,2,2,1,0
145303,long,T1 Slower,T2 Slower,2. <10%,1,2,1,1,1,2,2,2,1,1,2,1,2,1,0,1,0
133614,long,T1 Faster,T2 Neutral,1. None,2,1,0,2,2,0,0,0,0,0,0,2,2,0,2,0,1
168270,long,T1 Faster,T2 Faster,1. None,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0
125028,long,T1 Faster,T2 Faster,1. None,1,1,1,0,2,0,0,2,1,1,0,0,2,0,1,1,0
169502,loyal,T1 Faster,T2 Faster,1. None,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,1
122104,medium,T1 Faster,T2 Neutral,1. None,2,0,2,2,0,0,0,0,2,0,0,2,2,0,0,0,0
114227,medium,T1 Faster,T2 Faster,1. None,2,0,0,0,2,0,0,0,0,0,0,2,2,0,0,2,1
137287,long,T1 Faster,T2 Slower,1. None,1,0,0,0,0,0,0,2,0,2,0,2,1,0,0,0,0
105348,loyal,T1 Faster,T2 Slower,2. <10%,0,1,0,0,0,0,0,0,1,1,2,0,1,1,1,2,0
161430,loyal,N/A - No AOG,N/A - No AOG,1. None,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1
187208,long,T1 Faster,T2 Faster,1. None,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
159936,long,T1 Faster,T2 Faster,1. None,2,0,1,0,0,2,0,0,0,0,0,2,0,2,2,0,0
